,living_space,rooms,cold_rent,quarter,city,postcode,rent_per_square_meter,publish_date,latitude,longitude
5152,61.403999999999996,2.5,706.1519999999999,Lohbrügge,Hamburg,21031,13.8,2018-09-30 22:00:00,53.51285096294248,10.1916094177664
5153,72.0,3.0,906.0,Hamm-Nord,Hamburg,20535,15.095999999999998,2018-10-30 22:00:00,53.558175346192456,10.040175526259892
5154,264.0,6.5,4668.0,Barmbek-Nord,Hamburg,22307,21.215999999999998,2018-09-30 22:00:00,53.6030574294359,10.035928168586217
5155,99.6,3.5,1198.8,St. Pauli,Hamburg,20359,14.448,2018-12-30 23:00:00,53.55055216056453,9.964481522757868
5156,48.263999999999996,1.5,579.168,Dulsberg,Hamburg,22049,14.4,2018-08-31 22:00:00,53.578916902801026,10.062939512311372
5157,32.4,1.5,780.0,Winterhude,Hamburg,22301,28.884,2018-05-30 22:00:00,53.58384235207404,10.007439689280393
5159,161.496,3.5,2019.42,Winterhude,Hamburg,22299,15.0,2018-09-30 22:00:00,53.59357105201544,10.000535897848877
5160,62.4,3.0,624.0,Borgfelde,Hamburg,20535,12.0,2018-10-30 22:00:00,53.55742950684335,10.036487820324918
5161,56.676,2.5,510.084,Ohlsdorf,Hamburg,22337,10.8,2018-08-31 22:00:00,53.6242277246205,10.030429451385109
5162,150.24,4.5,1980.0,Neustadt,Hamburg,20354,15.815999999999999,2018-05-30 22:00:00,53.55813594145639,9.991111211379977
5163,69.6,2.5,1320.0,Uhlenhorst,Hamburg,20085,22.764,2018-02-28 23:00:00,53.57121477664946,10.024837804682333
5164,82.8,2.5,912.0,Marienthal,Hamburg,22043,13.212,2018-05-30 22:00:00,53.563875452658436,10.082197537496617
5165,54.96,2.5,428.68800000000005,Allermöhe,Hamburg,21035,9.36,2018-12-30 23:00:00,53.48835916445529,10.155179464769963
5166,68.4,3.0,960.0,Uhlenhorst,Hamburg,22085,16.848,2018-02-28 23:00:00,53.570523673820524,10.017797853248332
5167,114.0,4.5,1008.0,Bramfeld,Hamburg,22177,10.607999999999999,2018-11-30 23:00:00,53.59708266934801,10.058249067555584
5168,122.4,4.5,811.2,Jenfeld,Hamburg,22045,7.956,2018-03-28 23:00:00,53.57853759823306,10.146158698836533
5169,43.692,2.5,720.0,Stellingen,Hamburg,22525,19.776,2018-04-30 22:00:00,53.58838554389803,9.928075612006511
5170,69.108,2.5,743.664,Dulsberg,Hamburg,22049,12.912,2018-03-28 23:00:00,53.5829583411137,10.068685646035211
5171,72.0,2.5,477.18,Harburg,Hamburg,21073,7.956,2018-07-30 22:00:00,53.45765294336354,9.985590312621822
5172,120.0,3.5,1272.0,Rahlstedt,Hamburg,22145,12.72,2018-10-30 22:00:00,53.626681030719645,10.165885084218242
5173,134.4,3.5,1668.0,Marienthal,Hamburg,22043,14.892000000000001,2018-12-30 23:00:00,53.565914783578904,10.069057063299944
5174,98.556,3.5,968.4,Farmsen-Berne,Hamburg,22145,11.796,2018-11-30 23:00:00,53.632471340566084,10.146199022664078
5175,85.2,3.5,1186.8,St. Pauli,Hamburg Altona/St.Pauli,22767,16.715999999999998,2018-08-31 22:00:00,53.55342921190387,9.959431042489117
5176,126.0,4.5,793.1160000000001,Moorburg,Hamburg,21079,7.547999999999999,2018-03-28 23:00:00,53.49634608019978,9.906041433770069
5177,82.8,2.5,1030.8,Eimsbüttel,Hamburg,22527,14.94,2018-07-30 22:00:00,53.582015207692926,9.93947464881686
5178,110.7,3.5,1536.0,Harvestehude,Hamburg Harvestehude,20149,16.656,2018-08-31 22:00:00,53.573976617687315,9.986531958732595
5179,82.33200000000001,2.5,870.0,Uhlenhorst,Hamburg,22085,12.684000000000001,2018-05-30 22:00:00,53.57643530417476,10.0195297442516
5180,92.07600000000001,3.5,983.22,Eppendorf,Hamburg,20251,12.815999999999999,2018-09-30 22:00:00,53.595345444959456,9.978410106603762
5181,72.0,3.0,1200.0,Eimsbüttel,Hamburg,20255,20.004,2018-10-30 22:00:00,53.57551507897762,9.94796257425419
5182,100.69200000000001,3.5,1452.0,Wandsbek,Hamburg,22041,17.304000000000002,2018-09-30 22:00:00,53.57323326106065,10.061936652390393
5183,54.348,2.5,622.98,Dulsberg,Hamburg,22049,13.752,2018-08-31 22:00:00,53.58315813145021,10.069788115611109
5184,94.8,3.5,1122.0,Iserbrook,Iserbrook,22589,14.208,2018-02-28 23:00:00,53.57160649906032,9.832852048450995
5185,87.6,3.0,1168.8,Langenhorn,Hamburg,22419,16.008,2018-07-30 22:00:00,53.6740632882749,10.007378185177608
5186,67.8,3.5,600.0,Heimfeld,Hamburg,21075,10.62,2018-11-30 23:00:00,53.46337403613551,9.949574858664436
5187,62.303999999999995,2.5,612.0,Hamm-Mitte,Hamburg Hamm,20537,11.784,2018-05-30 22:00:00,53.554585960327685,10.04102895360299
5188,51.6,2.5,387.0,Eißendorf,Hamburg,21073,9.0,2018-02-28 23:00:00,53.46094679737981,9.96484324919285
5189,89.4,2.5,1374.0,Winterhude,Hamburg,22303,18.444000000000003,2018-08-31 22:00:00,53.59547952960286,10.033227100350778
5190,80.4,3.0,850.8,Barmbek-Nord,Hamburg,22307,12.696,2018-10-30 22:00:00,53.58636622625593,10.046584910585329
5191,78.0,3.5,660.0,Eißendorf,Hamburg,21073,10.152000000000001,2018-08-31 22:00:00,53.456766088204404,9.968525230202284
5192,71.76,2.5,1560.0,Neustadt,Hamburg,20459,26.088,2018-02-28 23:00:00,53.54618201760815,9.974350296683044
5193,43.548,1.5,283.5,Finkenwerder,Hamburg,21129,7.812,2018-09-30 22:00:00,53.53118506185313,9.877742557856696
5194,77.28,2.5,1066.8,Barmbek-Nord,Hamburg,22303,16.56,2018-07-30 22:00:00,53.594267397547476,10.035538243490997
5196,107.94,3.5,1596.0,Hammerbrook,Hamburg,20097,17.748,2018-02-28 23:00:00,53.548287950177105,10.015785182779018
5197,79.2,3.5,712.8,Wilhelmsburg,Hamburg,21107,10.8,2018-05-30 22:00:00,53.51409971095586,9.987681154232463
5198,86.4,3.5,720.0,Neugraben-Fischbek,Hamburg,21149,9.996,2018-02-28 23:00:00,53.47228102118515,9.861505289947253
5199,115.68,3.5,1418.4,Langenhorn,Hamburg,22415,14.712,2018-03-28 23:00:00,53.64621880211508,10.013045490335527
5200,62.316,2.5,600.0,Langenhorn,Hamburg,22417,11.556,2018-08-31 22:00:00,53.65748376837934,10.026358300823203
5201,119.124,3.5,1572.0,Stellingen,Hamburg,22527,15.84,2018-03-28 23:00:00,53.583921888360535,9.945733028451745
5202,94.8,2.5,1560.0,Barmbek-Nord,Hamburg,22305,19.752,2018-09-30 22:00:00,53.583805189267174,10.050148978250325
5203,103.2,4.0,1440.0,Ottensen,Hamburg,22763,16.74,2018-07-30 22:00:00,53.55730784466685,9.9181818202431
5204,52.8,2.5,714.0,Hamm-Nord,Hamburg,20535,16.224,2018-11-30 23:00:00,53.563459604466026,10.06069890913383
5205,93.204,3.5,883.572,Eidelstedt,Hamburg,22523,11.376,2018-09-30 22:00:00,53.606295340288476,9.90334214912598
5206,90.0,3.5,1152.0,Hoheluft-Ost,Hamburg,20249,15.36,2018-01-31 23:00:00,53.586118211547614,9.979761779979267
5207,36.696,1.5,392.4,Barmbek-Süd,Hamburg,22081,12.828,2018-09-30 22:00:00,53.575316751474,10.046787557520009
5208,93.6,2.5,1021.2,Farmsen-Berne,Hamburg,22159,13.092,2018-05-30 22:00:00,53.623252959376316,10.120995056005027
5209,79.704,3.0,797.04,Allermöhe,Hamburg,21035,12.0,2018-04-30 22:00:00,53.488795825733796,10.1628186152783
5210,72.0,2.5,828.0,Wandsbek,Hamburg,22047,13.8,2018-05-30 22:00:00,53.58371637766443,10.08062703611176
5211,52.8,2.5,366.0,Rahlstedt,Hamburg,22143,8.316,2018-11-30 23:00:00,53.612757035573644,10.156259101209182
5212,58.8,2.5,705.6,Neustadt,Hamburg,20539,14.4,2018-11-30 23:00:00,53.55441950001807,9.994584565890143
5213,83.16,3.5,924.0,Hamm-Mitte,Hamburg,20537,13.332,2018-05-30 22:00:00,53.55124400588544,10.06046802023136
5214,56.136,2.5,738.0,Barmbek-Süd,Hamburg Uhlenhorst,22083,15.78,2018-02-28 23:00:00,53.57898559030628,10.021275790024848
5215,69.6,2.5,552.0,Billstedt,Hamburg,22117,9.516,2018-07-30 22:00:00,53.54210507755425,10.115237214320773
5216,108.0,3.5,1068.0,Heimfeld,Hamburg,21075,11.868,2018-07-30 22:00:00,53.45577810686561,9.934640165279314
5217,58.74,2.5,1104.0,Winterhude,Hamburg,22301,22.548000000000002,2018-07-30 22:00:00,53.589271309676114,10.00835919446068
5218,111.6,3.5,1674.0,Othmarschen,Hamburg,22605,18.0,2018-02-28 23:00:00,53.546553008687646,9.909942306858712
5219,52.8,2.5,564.0,Wilhelmsburg,Hamburg,21107,12.815999999999999,2018-07-30 22:00:00,53.51519283967863,9.987145899913317
5220,54.0,2.5,309.204,Rahlstedt,Hamburg,22149,6.876,2018-01-31 23:00:00,53.590758153940804,10.183648364459255
5221,56.43600000000001,2.5,510.0,Heimfeld,Hamburg,21075,10.847999999999999,2018-09-30 22:00:00,53.46409685460458,9.957924932273947
