,living_space,rooms,cold_rent,quarter,city,postcode,rent_per_square_meter,publish_date,latitude,longitude,geometry,osm_id,code,fclass,name,dist
3144,72.0,2.5,720.0,Wandsbek,Hamburg,22043,12.0,2019-01-31 23:00:00,53.581156762642784,10.080545839709199,POINT (10.0805458397092 53.58115676264278),258531276,2503,kiosk,,0.00024937373223920373
3145,174.0,3.5,1620.0,Rahlstedt,Hamburg,22149,11.172,2019-05-30 22:00:00,53.59470789531589,10.159717095053574,POINT (10.15971709505357 53.59470789531589),2294333003,2004,post_box,,0.002535815573228765
3146,95.34,3.5,1302.0,Langenhorn,Hamburg,22419,16.392,2019-02-28 23:00:00,53.657458219173286,10.015808837740087,POINT (10.01580883774009 53.65745821917329),7123927228,2902,bench,,0.0006422101763063265
3147,51.048,2.5,882.0,Rotherbaum,Hamburg,20146,20.736,2019-05-30 22:00:00,53.56846503049693,9.982570238523486,POINT (9.982570238523486 53.56846503049693),5252851865,2512,clothes,Couleurs Du Monde,0.00010509722962642732
3148,49.44,2.0,642.72,Wilhelmsburg,Hamburg,21109,15.6,2019-06-30 22:00:00,53.501537465573904,10.008098187745826,POINT (10.00809818774583 53.5015374655739),4558716350,2511,convenience,Bahnhofs Kiosk,0.000964521598449083
3149,70.08,2.5,912.0,Rothenburgsort,Hamburg,20539,15.612,2019-02-28 23:00:00,53.53352305375352,10.045749552122453,POINT (10.04574955212245 53.53352305375352),271393347,2568,laundry,,0.0002538352714380198
3150,95.724,3.0,938.4,Rahlstedt,Hamburg,22149,11.76,2019-02-28 23:00:00,53.59520124908382,10.17233593788766,POINT (10.17233593788766 53.59520124908382),671554604,2902,bench,,0.0030542625664589118
3151,36.924,2.0,517.2,Bramfeld,Hamburg,22177,16.812,2019-03-28 23:00:00,53.60880936142155,10.069215906443883,POINT (10.06921590644388 53.60880936142155),1855698069,2301,restaurant,,0.0025629937977851317
3152,62.4,2.5,592.8,Farmsen-Berne,Hamburg,22159,11.4,2019-05-30 22:00:00,53.598652596099605,10.118278627917814,POINT (10.11827862791781 53.5986525960996),1761447528,2301,restaurant,Herakles,0.0006621073447353372
3153,87.6,2.5,1680.0,St. Pauli,Hamburg,20359,23.016,2019-03-28 23:00:00,53.551161695948714,9.961773515845543,POINT (9.961773515845543 53.55116169594871),3255892127,2305,bar,KorallBar,0.00031821697142131504
3154,60.0,2.5,1500.0,Uhlenhorst,Hamburg,22085,30.0,2019-06-30 22:00:00,53.57600811408771,10.012075877316406,POINT (10.01207587731641 53.57600811408771),899609725,2004,post_box,,0.0010768214459637984
3155,120.36,4.0,1674.0,Fuhlsbüttel,Hamburg,22339,16.692,2019-02-28 23:00:00,53.63264422163557,10.029929521115267,POINT (10.02992952111527 53.63264422163557),1848306990,2129,veterinary,,0.0007251512056929059
3156,91.104,3.5,1047.696,Lohbrügge,Hamburg,21031,13.8,2019-04-30 22:00:00,53.513257392070685,10.199665678517956,POINT (10.19966567851796 53.51325739207068),4182051509,2032,recycling_paper,,0.0026104821973132546
3157,108.0,3.5,1512.0,Sülldorf,Hamburg,22589,16.8,2019-06-30 22:00:00,53.59026146467922,9.790142503626322,POINT (9.790142503626322 53.59026146467922),6240178868,2701,tourist_info,,0.005211082309845991
3158,79.548,2.5,858.0,Hamm-Nord,Hamburg,20535,12.948,2019-05-30 22:00:00,53.55849220742872,10.066199832444664,POINT (10.06619983244466 53.55849220742872),1506805749,2561,hairdresser,Nina Seibel Beauty,0.00047826383907871773
3159,89.64,3.5,1020.0,Barmbek-Süd,Hamburg,22081,13.656,2019-06-30 22:00:00,53.57731326325211,10.042305082808511,POINT (10.04230508280851 53.57731326325211),1291681194,2083,kindergarten,Kirchengemeinde Alt-Barmbek,0.0005105081549565229
3160,105.0,3.5,1260.0,Lokstedt,Hamburg,22529,14.4,2019-02-28 23:00:00,53.58835586649893,9.965293218647867,POINT (9.965293218647867 53.58835586649893),4221459279,2566,bicycle_rental,Grandweg / Veilchenweg,0.001237283702781644
3161,50.4,1.5,540.0,Hamm-Nord,Hamburg,20535,12.852,2019-04-30 22:00:00,53.5586934466691,10.06460900406622,POINT (10.06460900406622 53.5586934466691),1506805749,2561,hairdresser,Nina Seibel Beauty,0.0011264740541788271
3162,68.4,2.5,650.4,Schnelsen,Hamburg,22457,11.412,2019-03-28 23:00:00,53.64411170113717,9.911812989264453,POINT (9.911812989264453 53.64411170113717),258342871,2032,recycling_paper,,0.0017675219299698101
