"living_space","rooms","cold_rent","construction_year","quarter","lambert_poistion_x","lambert_poistion_y","city","postcode","heating_type","number_of_bedrooms","rent_per_square_meter","publish_date","latitude","longitude"
"43.2","1.5","516","1977","Rahlstedt","9860","2628183","Hamburg","22145","1","","14.328","2019-06-30 22:00:00","53.62538812902599","10.151078781469812"
"84","2.5","1078.8","2017","St. Pauli","-2622","2619984","Hamburg","20359","19","1","15.408","2019-01-31 23:00:00","53.55078761793896","9.95989235866028"
"111","3.5","2394","2021","Hamb.-Altstadt","44","2619599","Hamburg","20457","7","2","25.884","2019-05-30 22:00:00","53.54728690026146","10.000672996460077"
"90","2.5","900","1977","Bramfeld","5317","2627555","Hamburg","22175","5","","12","2019-04-30 22:00:00","53.61973253928451","10.081458700788156"
"83.556","2.5","780","1904","Harburg","-1848","2609680","Hamburg","21073","1","","11.208","2019-06-30 22:00:00","53.45692174801371","9.971791669190694"
"58.848","2.5","768","","Eimsbüttel","-3713","2622605","Hamburg","20257","","","15.66","2019-06-30 22:00:00","53.57465672756063","9.943173170661701"
"27.6","1.5","456","1961","Stellingen","-4469","2624172","Hamburg","22525","5","1","19.824","2019-06-30 22:00:00","53.58892494577533","9.931580672263447"
"141.6","3.5","2160","2023","Marienthal","6221","2622362","Hamburg","22043","1","","18.3","2019-04-30 22:00:00","53.572419845172455","10.095206547594874"
"104.4","3.5","1428","1971","Wandsbek","5032","2623540","Hamburg","22041","5|6","2","16.416","2019-05-30 22:00:00","53.58316298957389","10.077028700927247"
"67.2","2.5","750","1980","Hamm-Nord","2903","2621054","Hamburg","20535","","","13.392","2019-02-28 23:00:00","53.56053324066304","10.044415750892254"
"52.464","2.5","498","1969","Hamm-Mitte","3252","2620098","Hamburg","20537","5","","11.388","2019-03-28 23:00:00","53.551822631493934","10.049745652108106"
"56.46","2.5","677.52","2012","Rissen","-16580","2623645","Hamburg","22559","11","","14.4","2019-01-31 23:00:00","53.58388557612978","9.746192576716364"
"56.4","2.5","708","1970","Niendorf","-2613","2629477","Hamburg","22455","5","1","15.06","2019-03-28 23:00:00","53.63725943431516","9.959951867388154"
"144","4.5","2736","1648","Rotherbaum","-375","2622135","Hamburg","20148","1","2","22.8","2019-03-28 23:00:00","53.570388170270746","9.994261242914115"
"49.8","2","402","","Bramfeld","5067","2627563","Hamburg","22177","1","","9.684","2019-04-30 22:00:00","53.61980784355837","10.077628725212668"
"117.96","3","2100","2023","Othmarschen","-8748","2620512","Hamburg Klein Flottbek","22605","5","","21.36","2019-05-30 22:00:00","53.55553217450427","9.86617109356393"
"68.4","2.5","745.56","1973","Rissen","-16107","2623423","Hamburg","22559","7","","13.08","2019-05-30 22:00:00","53.58187784920628","9.753444490691653"
"326.4","5.5","4407.6","1960","Othmarschen","-8070","2620062","Hamburg","22605","5","4","16.2","2019-04-30 22:00:00","53.551443609752724","9.876554694735528"
"63.6","1.5","1077.936","2003","Eppendorf","-864","2624302","Hamburg","20249","7","1","20.34","2019-04-30 22:00:00","53.59012714040721","9.986772007935274"
"85.2","3.5","936","1941","Niendorf","-3747","2628733","Hamburg","22459","1","","13.188","2019-05-30 22:00:00","53.630475892315715","9.942580427407911"
"70.8","2.5","924","2000","Hummelsbüttel","2048","2629821","Hamburg","22339","5","","15.66","2019-02-28 23:00:00","53.640395234835324","10.031390888247294"
"68.4","2.5","1140","","Uhlenhorst","1404","2622435","Hamburg","22085","1","","20.004","2019-05-30 22:00:00","53.57311922912865","10.021487231828083"
"96","2.5","1056","1965","Wilhelmsburg","2085","2614256","Hamburg","21109","5","","13.2","2019-06-30 22:00:00","53.49860934902752","10.031855863207065"
"55.2","1.5","552","","Rahlstedt","10321","2625916","Hamburg","22143","","1","12","2019-06-30 22:00:00","53.60472985095666","10.158068587675421"
"22.8","1.5","218.4","","Barmbek-Nord","2966","2625276","Hamburg","22307","1","","11.496","2019-05-30 22:00:00","53.59899175989774","10.04541907985828"
"73.584","2.5","1108.8","","Eppendorf","-1332","2624749","Hamburg","20251","7","","18.084","2019-02-28 23:00:00","53.5941979117379","9.979604969921603"
"109.56","3.5","2880","2022","Hamb.-Altstadt","45","2619600","Hamburg","20457","7","2","31.548","2019-05-30 22:00:00","53.54729600968657","10.000688291975663"
"56.736","2.5","595.728","1956","Barmbek-Nord","2675","2624798","Hamburg","22307","7","","12.6","2019-05-30 22:00:00","53.5946392088886","10.040958897491281"
"83.712","3.5","783.6","1963","Rissen","-16354","2623079","Hamburg","22559","5","","11.232","2019-01-31 23:00:00","53.578736804928475","9.74968131886541"
"104.136","4.5","1488","1959","Eimsbüttel","-3485","2622663","Hamburg","20257","5","2","17.148","2019-02-28 23:00:00","53.57518659929235","9.946662034037928"
"49.2","2.5","754.8","1960","Barmbek-Süd","1882","2623084","Hamburg","22083","5","","18.408","2019-03-28 23:00:00","53.57902962778296","10.02880653029053"
"123.6","4.5","1740","","Barmbek-Nord","2315","2624790","Hamburg Winterhude","22303","1","","16.896","2019-06-30 22:00:00","53.59456802064066","10.035446614575974"
"100.8","2.5","2004","1894","Harvestehude","-1270","2623195","Hamburg-Harvestehude","20144","1","","23.856","2019-03-28 23:00:00","53.58004255222081","9.98056050484227"
"135.132","3.5","3840","2021","Hamb.-Altstadt","44","2619599","Hamburg","20457","7","2","34.104","2019-02-28 23:00:00","53.54728690026146","10.000672996460077"
"64.728","2.5","774.036","1963","Horn","6498","2621000","Hamburg","22119","7","","14.352","2019-04-30 22:00:00","53.560009681175224","10.099417914916286"
"62.4","2.5","958.8","1922","Eppendorf","-1248","2624843","Hamburg","20251","7","","18.444","2019-05-30 22:00:00","53.595054360783664","9.98089077327474"
"98.4","4.5","568.944","1978","Billstedt","7627","2619492","Hamburg","22119","5","","6.936","2019-04-30 22:00:00","53.546257717492175","10.116655156627278"
"96","2.5","1140","1999","Stellingen","-4058","2624793","Hamburg","22527","5","1","14.256","2019-01-31 23:00:00","53.594584936141516","9.937865041814993"
"72","2.5","730.8","1979","Farmsen-Berne","7915","2627850","Hamburg","22159","6","1","12.18","2019-01-31 23:00:00","53.62238736775022","10.12126847280777"
"79.152","3.5","1980","2021","Hamb.-Altstadt","44","2619599","Hamburg","20457","7","2","30.024","2019-05-30 22:00:00","53.54728690026146","10.000672996460077"
"56.4","2.5","560.4","1982","Lohbrügge","13295","2614183","Hamburg","21031","5","1","11.928","2019-02-28 23:00:00","53.497783053884596","10.203125336371052"
"100.8","3.5","1344","2006","Stellingen","-4573","2624027","Hamburg","22525","5","","15.996","2019-01-31 23:00:00","53.58760325017853","9.929990546728877"
"64.8","2.5","1020","","Altona-Altstadt","-3426","2619328","Hamburg","22767","5","","18.888","2019-02-28 23:00:00","53.54480723204703","9.947600976192899"
"117.6","4.5","1498.8","2015","St. Pauli","-2620","2619964","Hamburg","20359","7","3","15.288","2019-01-31 23:00:00","53.55060543834163","9.959923116608868"
"61.2","2.5","642.6","1990","Eidelstedt","-6314","2626141","Hamburg","22523","11","1","12.6","2019-04-30 22:00:00","53.606841836516516","9.903295007465562"
"67.8","2.5","606","1997","Schnelsen","-5695","2630308","Hamburg-Schnelsen","22457","5","","10.728","2019-05-30 22:00:00","53.64480456635032","9.912700696207132"
"201.6","5.5","3240","1922","Eppendorf","-1152","2623707","Hamburg","20249","7","3","19.284","2019-05-30 22:00:00","53.58470669536885","9.982364836546381"
"76.8","3","564.6","1967","Eißendorf","-3926","2609584","Hamburg","21075","1","","8.82","2019-04-30 22:00:00","53.4560359306828","9.940073751607288"
"91.2","3.5","1048.8","","Iserbrook","-10869","2622317","Hamburg","22589","1","","13.8","2019-05-30 22:00:00","53.57193551305802","9.833661914719373"
"60","2.5","588","","Kleiner Grasbrook","525","2616660","Hamburg","20539","1","","11.76","2019-04-30 22:00:00","53.520513379396135","10.008025222683091"
"65.196","2.5","417.252","2023","Farmsen-Berne","7687","2626633","Hamburg","22159","1","1","7.68","2019-06-30 22:00:00","53.61130535908215","10.11774570331"
"160.8","3.5","2289.6","2002","Blankenese","-12463","2622040","Hamburg","22587","5","2","17.088","2019-06-30 22:00:00","53.56937741496047","9.809278465164251"
"132","4.5","1789.2","","St. Georg","566","2620679","Hamburg","20099","7","3","16.26","2019-06-30 22:00:00","53.55712481441702","10.008659104187116"
"111.132","3.5","1320","1978","Marienthal","4552","2621240","Hamburg","22043","5","","14.256","2019-03-28 23:00:00","53.56221606653505","10.06964801803057"
"97.2","3","1008","1982","Hummelsbüttel","2981","2630323","Hamburg hummelsbüttel","22339","5","2","12.444","2019-04-30 22:00:00","53.64496328678626","10.045696245049387"
"99.6","3.5","1296","1987","Nienstedten","-10200","2620442","Hamburg","22609","5","","15.612","2019-05-30 22:00:00","53.554868750719606","9.84396037154519"
"68.4","2.5","500.196","1973","Eißendorf","-3802","2609792","Hamburg","21075","5","","8.772","2019-06-30 22:00:00","53.45793180154883","9.9419640035383"
"60.504","2.5","876","2022","Barmbek-Nord","2702","2625416","Hamburg","22307","","1","17.376","2019-02-28 23:00:00","53.600268414674396","10.041377576730945"
"47.7","1.5","575.268","1954","Wandsbek","4110","2622999","Hamburg","22049","7","","14.472","2019-03-28 23:00:00","53.57824283966724","10.06290794205571"
"162.24","4.5","2514","1904","Harvestehude","-663","2623035","Hamburg","20149","7","","18.6","2019-03-28 23:00:00","53.57858618526806","9.989851998990975"
"116.4","4.5","1116","1997","Neuenfelde","-14349","2617039","Hamburg","21129","5","","11.508","2019-02-28 23:00:00","53.52377355266246","9.780642753792891"
"72","1.5","636","","Barmbek-Nord","2789","2625034","Hamburg","22307","1","","10.596","2019-01-31 23:00:00","53.59678834579237","10.042706509315106"
"45.66","1.5","508.8","1971","Stellingen","-4086","2623402","Hamburg","22525","6","","13.368","2019-03-28 23:00:00","53.58191401277511","9.937454218119035"
"64.8","2.5","810","2023","Bramfeld","4616","2626854","Hamburg","22177","5","","15","2019-06-30 22:00:00","53.613353830239966","10.070708883345828"
"82.8","3.5","1032","","Wandsbek","4503","2622503","Hamburg","22041","7","","14.952","2019-06-30 22:00:00","53.57372150652736","10.068916191819918"
"38.4","1.5","690","","Harvestehude","-1219","2623232","Hamburg","20144","1","","21.564","2019-04-30 22:00:00","53.58037970989182","9.981341003923534"
"72","2.5","912","1964","Eilbek","2713","2621804","Hamburg","22089","1","","15.204","2019-01-31 23:00:00","53.567366236536344","10.041515164004466"
"111.6","4.5","1380","1976","Stellingen","-4890","2625620","Hamburg (HH-Stellingen)","22527","6","1","14.844","2019-05-30 22:00:00","53.60211106371671","9.925112953870064"
"117.6","3.5","2640","2005","Nienstedten","-9563","2619868","Hamburg","22607","5","","26.94","2019-02-28 23:00:00","53.549651722996124","9.853722436955703"
